x,y,links off,file off,file off hex,flag 1,flag 2,flag 3,flag 4,flag 5
8176,4763,15068,55296,0xd800,0,1,0,0,0
8180,3547,15068,63488,0xf800,1,1,1,1,0
8179,2363,15076,145408,0x23800,0,0,0,0,1
8179,1179,15082,241664,0x3b000,1,0,0,0,1
7826,27,15088,337920,0x52800,1,0,0,0,1
28659,14043,15092,428032,0x68800,0,0,0,1,0
28148,12923,15098,495616,0x79000,0,1,0,1,0
27843,11739,15106,555008,0x87800,0,0,0,1,0
27635,4763,15112,595968,0x91800,1,1,0,1,0
25587,3707,15118,645120,0x9d800,1,0,0,0,1
26099,2267,15124,745472,0xb6000,1,1,1,1,0
25075,1307,15130,829440,0xca800,1,1,1,1,0
28659,27,15136,919552,0xe0800,1,0,0,0,1
-19469,14075,15142,1003520,0xf5000,0,1,1,1,0
-19820,12987,15148,1077248,0x107000,0,0,0,1,0
-19468,11739,15156,1110016,0x10f000,0,0,1,1,0
-19470,4731,15164,1165312,0x11c800,1,1,0,1,0
-17422,3707,15168,1214464,0x128800,1,0,0,0,1
-19470,2427,15172,1306624,0x13f000,0,0,1,1,0
-17421,1083,15176,1384448,0x152000,0,0,0,0,1
-19468,27,15182,1476608,0x168800,1,0,0,0,1
-1533,14043,15190,1566720,0x17e800,0,0,1,1,0
-1525,14043,15196,1640448,0x190800,1,0,1,1,0
-1029,12923,15202,1716224,0x1a3000,0,0,0,0,1
-1037,12923,15208,1798144,0x1b7000,1,1,1,1,0
-1036,11739,15214,1873920,0x1c9800,0,0,1,1,0
-525,4731,15222,1937408,0x1d9000,1,0,0,0,0
-1036,3515,15228,1943552,0x1da800,1,0,0,0,1
-13,2363,15236,2017280,0x1ec800,1,1,1,1,0
-1037,1179,15242,2111488,0x203800,1,0,0,0,1
-526,27,15248,2199552,0x219000,1,1,0,0,0
17492,14076,15252,2211840,0x21c000,1,0,1,1,0
17666,12924,15260,2271232,0x22a800,0,0,1,1,0
17907,11516,15264,2336768,0x23a800,1,0,0,0,1
