DAY.STR,DAWN.STR,NIGHT.STR,RAIN.STR
20999,20999,20999,20999
19800,19800,19800,19800
21000,21000,21000,21000
19000,19000,19000,19000
18801,18801,18801,18801
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18613,18613,18613,18613
18643,18643,18643,18643
18449,18449,18449,18449
16900,16900,16900,16900
17199,17199,17199,17199
18851,18851,18851,18851
17199,17199,17199,17199
19849,19849,19849,19849
17799,17799,17799,17799
20000,20000,20000,20000
15400,15400,15400,15400
15616,15616,15616,15616
20399,20399,20399,20399
15407,15407,15407,15407
14799,14799,14799,14799
15220,15220,15220,15220
22032,22032,22032,22032
19233,19233,19233,19233
19010,19010,19010,19010
17331,17331,17331,17331
18800,18800,18800,18800
19950,19950,19950,19950
18799,18799,18799,18799
19800,19800,19800,19800
19000,19000,19000,19000
21000,21000,21000,21000
14615,14615,14615,14615
17133,17133,17133,17133
18806,18806,18806,18806
13807,13807,13807,13807
14799,14799,14799,14799
15227,15227,15227,15227
19418,19418,19418,19418
18622,18622,18622,18622
18800,18800,18800,18800
16753,16753,16753,16753
18800,18800,18800,18800
16753,16753,16753,16753
19099,19099,19099,19099
18800,18800,18800,18800
19099,19099,19099,19099
18800,18800,18800,18800
18799,18799,18799,18799
19800,19800,19800,19800
18599,18599,18599,18599
21000,21000,21000,21000
18802,18802,18802,18802
17802,17802,17802,17802
20374,20374,20374,20374
19013,19013,19013,19013
18799,18799,18799,18799
18822,18822,18822,18822
19600,19600,19600,19600
18905,18905,18905,18905
19011,19011,19011,19011
17332,17332,17332,17332
18800,18800,18800,18800
18800,18800,18800,18800
18850,18850,18850,18850
26400,26400,26400,26400
18799,18799,18799,18799
21000,21000,21000,21000
18808,18808,18808,18808
18201,18201,18201,18201
12399,12399,12399,12399
15098,15098,15098,15098
18824,18824,18824,18824
18687,18687,18687,18687
18799,18799,18799,18799
18800,18800,18800,18800
19495,19495,19495,19495
26400,26400,26400,26400
18801,18801,18801,18801
14603,14603,14603,14603
22184,22184,22184,22184
13093,13093,13093,13093
18884,18884,18884,18884
18808,18808,18808,18808
15203,15203,15203,15203
18809,18809,18809,18809
18800,18800,18800,18800
18800,18800,18800,18800
31267,31267,31267,31267
18800,18800,18800,18800
22349,22349,22349,22349
20870,20870,20870,20870
31399,31399,31399,31399
18850,18850,18850,18850
31399,31399,31399,31399
18800,18800,18800,18800
31399,31399,31399,31399
18800,18800,18800,18800
18799,18799,18799,18799
18804,18804,18804,18804
12503,12503,12503,12503
12101,12101,12101,12101
18851,18851,18851,18851
20690,20690,20690,20690
11306,11306,11306,11306
18800,18800,18800,18800
18800,18800,18800,18800
18817,18817,18817,18817
11312,11312,11312,11312
18463,18463,18463,18463
12960,12960,12960,12960
18388,18388,18388,18388
