file off,DAY.STR,DAWN.STR,NIGHT.STR,RAIN.STR
,lim 15068,lim 15068,lim 15040,lim 15044
,# 3767,# 3767,# 3760,# 3761
,,,,
0,49876,49876,49876,49876
4,677,677,677,677
8,18756,18756,18728,18732
12,3473,3473,3467,3467
16,26880,26880,26852,26856
20,15068,15068,15040,15044
24,15068,15068,15040,15044
28,677,677,677,677
32,55296,55296,55296,55296
36,44,44,44,44
40,34000,34000,33960,33964
44,96,96,96,96
48,1068,1068,1068,1068
52,1960,1960,1960,1960
56,3196,3196,3196,3196
60,4484,4484,4484,4484
64,5784,5784,5760,5760
68,5836,5836,5812,5812
72,7596,7596,7572,7572
76,9024,9024,9000,9000
80,10564,10564,10540,10540
84,11688,11688,11664,11664
88,12812,12812,12784,12788
92,14136,14136,14108,14112
96,180,180,180,180
100,252,252,252,252
104,312,312,312,312
108,372,372,372,372
112,432,432,432,432
116,472,472,472,472
120,504,504,504,504
124,536,536,536,536
128,572,572,572,572
132,608,608,608,608
136,644,644,644,644
140,680,680,680,680
144,716,716,716,716
148,752,752,752,752
152,788,788,788,788
156,828,828,824,828
160,876,876,872,876
164,924,924,920,924
168,972,972,968,972
172,1020,1020,1016,1020
176,1064,1064,1060,1064
180,0,0,0,0
184,7,7,7,7
188,37,37,38,37
192,38,38,39,38
196,39,39,40,39
200,120,120,120,120
204,121,121,121,121
208,122,122,122,122
212,171,171,175,171
216,173,173,176,173
220,174,174,177,174
224,176,176,178,176
228,177,177,179,177
232,183,183,184,183
236,185,185,186,185
240,216,216,219,216
244,218,218,220,218
248,221,221,221,221
252,1,1,1,1
256,8,8,8,8
260,40,40,41,40
264,41,41,42,41
268,42,42,43,42
272,123,123,123,123
276,124,124,124,124
280,125,125,125,125
284,187,187,188,187
288,188,188,190,188
292,189,189,191,189
296,191,191,192,191
300,195,195,194,195
304,196,196,197,196
308,197,197,198,197
312,2,2,2,2
316,9,9,9,9
320,43,43,44,43
324,44,44,45,44
328,45,45,46,45
332,126,126,126,126
336,127,127,127,127
340,128,128,128,128
344,198,198,199,198
348,199,199,200,199
352,200,200,201,200
356,201,201,202,201
360,202,202,205,202
364,204,204,206,204
368,206,206,207,206
372,3,3,3,3
376,10,10,10,10
380,46,46,47,46
384,47,47,48,47
388,48,48,49,48
392,129,129,129,129
396,130,130,130,130
400,131,131,131,131
404,207,207,208,207
408,208,208,209,208
412,209,209,210,209
416,210,210,211,210
420,211,211,212,211
424,212,212,214,212
428,217,217,216,217
432,4,4,4,4
436,11,11,11,11
440,49,49,50,49
444,50,50,51,50
448,51,51,52,51
452,132,132,132,132
456,133,133,133,133
460,134,134,134,134
464,219,219,217,219
468,220,220,218,220
472,5,5,5,5
476,12,12,12,12
480,52,52,53,52
484,53,53,54,53
488,54,54,55,54
492,135,135,136,135
496,136,136,137,136
500,137,137,138,137
504,6,6,6,6
508,13,13,13,13
512,55,55,56,55
516,56,56,57,56
520,57,57,58,57
524,138,138,139,138
528,139,139,140,139
532,140,140,141,140
536,14,14,14,14
540,15,15,15,15
544,16,16,16,16
548,58,58,59,58
552,59,59,60,59
556,60,60,61,60
