offset,day-first@4,notes,offset,day-first@72,notes,offset,day-2nd@4,notes,offset,day-2nd@6824,notes,offset,day-2nd@20472,notes,offset,day-2nd@20992,notes,offset,day-2nd@21752,notes,offset,day-2nd@21832,notes,offset,day-2nd@21916,notes,offset,day-2nd@22000,notes,offset,day-2nd@22084,notes,offset,day-2nd@22168,notes,offset,day-2nd@22252,notes,offset,day-2nd@22336,notes,offset,day-2nd@24156,notes,offset,day-2nd@24236,notes,offset,day-2nd@25944,notes,offset,day-nth2@4,notes,offset,day-nth2@4388,notes,offset,day-nth2@6004,notes,offset,day-nth2@8124,notes
0,11,,68,7,,0,11,,6820,7,,20468,7,,20988,7,,21748,36,,21828,36,,21912,36,,21996,36,,22080,36,,22164,36,,22248,36,,22332,7,,24152,36,,24232,7,,25940,7,,0,11,,4384,7,,6000,7,,8120,7,
4,-1,,72,148,,4,-1,,6824,6900,,20472,20548,,20992,21068,,21752,-1,,21832,-1,,21916,-1,,22000,-1,,22084,-1,,22168,-1,,22252,-1,,22336,22412,,24156,-1,,24236,24312,,25944,26020,,4,-1,,4388,4464,,6004,6080,,8124,8200,
8,-639200,,76,-640204,,8,-639200,,6828,-636009,,20476,-654400,,20996,-639400,,21756,-639200,,21836,-628000,,21920,-628000,,22004,-638998,,22088,-641650,,22172,-637590,,22256,-635359,,22340,-635307,,24160,-159350,,24240,-151190,,25948,-158399,,8,-225599,,4392,-226820,,6008,-215080,,8128,-237151,
12,-4000,,80,800,,12,-4000,,6832,-4021,,20480,800,,21000,800,,21760,-4000,,21840,-6078,,21924,-6078,,22008,-6086,,22092,-6086,,22176,-6079,,22260,-6071,,22344,-5460,,24164,-1120,,24244,-1611,,25952,-797,,12,-4949,,4396,-6752,,6012,-20587,,8132,-20585,
16,150800,,84,151755,,16,112800,,6836,109733,,20484,107199,,21004,126666,,21764,112800,,21844,115130,,21928,111304,,22012,109214,,22096,101595,,22180,101599,,22264,107647,,22348,108032,,24168,27467,,24248,29237,,25956,19018,,16,451200,,4400,432634,,6016,445102,,8136,445100,
20,0,,88,0,,20,0,,6840,0,,20488,0,,21008,0,,21768,0,,21848,0,,21932,0,,22016,0,,22100,0,,22184,0,,22268,0,,22352,0,,24172,0,,24252,0,,25960,0,,20,0,,4404,0,,6020,0,,8140,0,
24,0,,92,0,,24,0,,6844,0,,20492,0,,21012,0,,21772,0,,21852,0,,21936,0,,22020,0,,22104,0,,22188,0,,22272,0,,22356,0,,24176,0,,24256,0,,25964,0,,24,0,,4408,0,,6024,0,,8144,0,
28,0,,96,0,,28,0,,6848,0,,20496,0,,21016,0,,21776,0,,21856,0,,21940,0,,22024,0,,22108,0,,22192,0,,22276,0,,22360,0,,24180,0,,24260,0,,25968,0,,28,0,,4412,0,,6028,0,,8148,0,
32,4096,,100,4096,,32,4096,,6852,4096,,20500,4096,,21020,4096,,21780,4096,,21860,4096,,21944,4096,,22028,4096,,22112,4096,,22196,4096,,22280,4096,,22364,4096,,24184,4096,,24264,4096,,25972,4096,,32,4096,,4416,4096,,6032,6799,,8152,6799,
36,0,,104,29482,,36,0,,6856,19899,,20504,14865,,21024,21803,,21784,0,,21864,0,,21948,0,,22032,0,,22116,0,,22200,0,,22284,0,,22368,15286,,24188,5222,,24268,4716,,25976,6741,,36,0,,4420,21018,,6036,7594,,8156,7596,
40,56,,108,136,,40,56,,6860,6888,,20508,20536,,21028,21056,,21788,21816,,21868,21896,,21952,21980,,22036,22064,,22120,22148,,22204,22232,,22288,22316,,22372,22400,,24192,24220,,24272,24300,,25980,26008,,40,68,,4424,4452,,6040,6068,,8160,8188,
44,68,,112,0,,44,6820,,6864,20468,,20512,20988,,21032,21748,,21792,21828,,21872,21912,,21956,21996,,22040,22080,,22124,22164,,22208,22248,,22292,22332,,22376,24152,,24196,24232,,24276,25940,,25984,0,,44,4384,,4428,6000,,6044,8120,,8164,0,
48,0,,116,124,,48,0,,6868,6876,,20516,20524,,21036,21044,,21796,21804,,21876,21884,,21960,21968,,22044,22052,,22128,22136,,22212,22220,,22296,22304,,22380,22388,,24200,24208,,24280,24288,,25988,25996,,48,56,,4432,4440,,6048,6056,,8168,8176,
52,0,,120,0,,52,68,,6872,0,,20520,0,,21040,0,,21800,0,,21880,0,,21964,0,,22048,0,,22132,0,,22216,0,,22300,0,,22384,0,,24204,0,,24284,0,,25992,0,,52,80,,4436,0,,6052,0,,8172,0,
56,1599231059,,124,1599231059,,56,1599231059,,6876,1599231059,,20524,1599231059,,21044,1599231059,,21804,1599231059,,21884,1598838094,,21968,1598838094,,22052,1598838094,,22136,1598838094,,22220,1598838094,,22304,1598838094,,22388,1599231059,,24208,1599231059,,24288,1598838094,,25996,1599293511,,56,1599231059,,4440,1599231059,,6056,1599231059,,8176,1599231059,
60,892552263,,128,892552263,,60,892552263,,6880,892552263,,20528,892552263,,21048,892552263,,21808,892552263,,21888,892552263,,21972,892552263,,22056,892552263,,22140,892552263,,22224,892552263,,22308,892552263,,22392,892552263,,24212,892552263,,24292,860112727,,26000,909329479,,60,942825282,,4444,1431199554,,6060,1431199554,,8180,1431199554,
64,55,,132,55,,64,57,,6884,57,,20532,57,,21052,57,,21812,57,,21892,57,,21976,57,,22060,57,,22144,57,,22228,57,,22312,57,,22396,57,,24216,57,,24296,14645,,26004,3301174,,64,0,,4448,67,,6064,67,,8184,67,
68,7,,136,1599292999,,68,56,,6888,1599292999,,20536,1599292999,,21056,1599292999,,21816,1598838094,,21896,1598838094,,21980,1598838094,,22064,1598838094,,22148,1598838094,,22232,1598838094,,22316,1598838094,,22400,1599292999,,24220,1598838094,,24300,1599293511,,26008,1599293511,,68,1599231059,,4452,1599292999,,6068,1599292999,,8188,1599292999,
72,148,,140,892552263,,72,4476,,6892,892552263,,20540,892552263,,21060,892552263,,21820,892552263,,21900,808857946,,21984,808857946,,22068,808857946,,22152,808857946,,22236,808857946,,22320,808857946,,22404,892552263,,24224,860112727,,24304,909329479,,26012,875775047,,72,1431199554,,4456,1431199554,,6072,1431199554,,8192,1431199554,
76,-640204,,144,55,,76,0,,6896,57,,20544,17209,,21064,16953,,21824,57,,21904,1145528116,,21988,1145528116,,22072,1145528116,,22156,1145528116,,22240,1145528116,,22324,1145528116,,22408,18233,,24228,14645,,24308,3301174,,26016,3235641,,76,67,,4460,16707,,6076,17219,,8196,16963,
80,800,,148,16,,80,5676,,6900,4,,20548,1,,21068,1,,21828,36,,21908,3487540,,21992,3422004,,22076,3356468,,22160,3290932,,22244,3225396,,22328,3159860,,22412,1,,24232,7,,24312,1,,26020,1,,80,56,,4464,1,,6080,1,,8200,1,
84,151755,,152,56,,84,5864,,6904,348,,20552,15,,21072,24,,21832,-1,,21912,36,,21996,36,,22080,36,,22164,36,,22248,36,,22332,7,,22416,100,,24236,24312,,24316,56,,26024,59,,84,2936,,4468,58,,6084,82,,8204,82,
88,0,,156,3,,88,0,,6908,90,,20556,1,,21076,1,,21836,-628000,,21916,-1,,22000,-1,,22084,-1,,22168,-1,,22252,-1,,22336,22412,,22420,8,,24240,-151190,,24320,21,,26028,23,,88,0,,4472,13,,6088,4,,8208,4,
92,0,,160,688,,92,221,,6912,11168,,20560,20728,,21080,21320,,21840,-6078,,21920,-628000,,22004,-638998,,22088,-641650,,22172,-637590,,22256,-635359,,22340,-635307,,22424,23384,,24244,-1611,,24324,25140,,26032,26904,,92,3536,,4476,5180,,6092,6844,,8212,8964,
96,0,,164,640,,96,200,,6916,9728,,20564,20712,,21084,21304,,21844,115130,,21924,-6078,,22008,-6086,,22092,-6086,,22176,-6079,,22260,-6071,,22344,-5460,,22428,23256,,24248,29237,,24328,24804,,26036,26536,,96,3688,,4480,4972,,6096,6780,,8216,8900,
100,4096,,168,0,,100,31,,6920,0,,20568,0,,21088,0,,21848,0,,21928,111304,,22012,109214,,22096,101595,,22180,101599,,22264,107647,,22348,108032,,22432,0,,24252,0,,24332,0,,26040,0,,100,0,,4484,0,,6100,0,,8220,0,
104,29482,,172,192,,104,0,,6924,6944,,20572,20592,,21092,21112,,21852,0,,21932,0,,22016,0,,22100,0,,22184,0,,22268,0,,22352,0,,22436,22456,,24256,0,,24336,24356,,26044,26064,,104,144,,4488,4508,,6104,6124,,8224,8244,
108,136,,176,0,,108,19741,,6928,0,,20576,0,,21096,0,,21856,0,,21936,0,,22020,0,,22104,0,,22188,0,,22272,0,,22356,0,,22440,0,,24260,0,,24340,0,,26048,0,,108,100,,4492,0,,6108,0,,8228,0,
